No,Word,Pinyin,Chinese_Sentence,English_Translation
1,爱,wǒ ài nǐ.,我爱你。,I love you.
2,爱好,nǐ de ài hào shì shén me?,你的爱好是什么？,What is your hobby?
3,八,tā bā suì le.,他八岁了。,He is eight years old.
4,爸爸 / 爸,zhè shì wǒ bà ba.,这是我爸爸。,This is my dad.
5,吧,zǒu ba！,走吧！,Let's go!
6,白,tā xǐ huan bái chèn shān.,他喜欢白衬衫。,He likes white shirts.
7,白天,zhè lǐ bái tiān hěn rè.,这里白天很热。,It's really hot here in the daytime.
8,百,zhè lǐ yǒu bā bǎi gè xué sheng.,这里有八百个学生。,There are eight hundred students here.
9,班,tā zài sì bān.,她在四班。,She's in class four.
10,半,wǒ chī le bàn gè dàn gāo.,我吃了半个蛋糕。,I ate half a cake.
11,半年,wǒ xué zhōng wén bàn nián le.,我学中文半年了。,I have been learning Chinese for half a year.
12,半天,wǒ gōng zuò le bàn tiān.,我工作了半天。,I worked for half a day.
13,帮,nǐ kě yǐ bāng wǒ ma？,你可以帮我吗？,Can you help me?
14,帮忙,xiè xie nǐ de bāng máng！,谢谢你的帮忙！,Thank you for your help!
15,包,zhè shì wǒ de bāo.,这是我的包。,This is my bag.
16,包子,tā xǐ huan chī bāo zi.,他喜欢吃包子。,He likes to eat buns.
17,杯,wǒ yào yī bēi kā fēi.,我要一杯咖啡。,I want a cup of coffee.
18,杯子,wǒ yào mǎi zhè gè bēi zi.,我要买这个杯子。,I want to buy this cup.
19,北,zhè fáng zi cháo běi.,这房子朝北。,This house faces north.
20,北边,tú shū guǎn zài xué xiào de běi biān.,图书馆在学校的北边。,The library is on the north side of the school.
21,北京,nǐ qù guò běi jīng ma？,你去过北京吗？,Have you been to Beijing?
22,本,zhè běn shū hěn yǒu yì si.,这本书很有意思。,This book is very interesting.
23,本子,wǒ xū yào yī gè běn zi.,我需要一个本子。,I need a notebook.
24,比,tā bǐ wǒ gāo.,他比我高。,He is taller than me.
25,别,bié dòng！,别动！,Don't move!
26,别的,yǒu bié de yán sè ma？,有别的颜色吗？,Are there any other colors?
27,别人,tā bú xiàng bié rén.,她不像别人。,She is not like other people.
28,病,tā de pí fū bìng hǎo le.,他的皮肤病好了。,His skin disease is cured.
29,病人,bìng rén xū yào duō xiū xi.,病人需要多休息。,The patient needs more rest.
30,不大,wǒ de fáng zi bú dà.,我的房子不大。,My house is not big.
31,不对,nǐ de dá àn bú duì.,你的答案不对。,Your answer is wrong.
32,不客气,bú kè qi！,不客气！,You're welcome!
33,不用,bú yòng zháo jí.,不用着急。,There is no need to worry.
34,不,tā bù jǐn zhāng.,他不紧张。,He is not nervous.
35,菜,tā xǐ huan zhè dào cài.,他喜欢这道菜。,He likes this dish.
36,茶,wǒ měi tiān hē chá.,我每天喝茶。,I drink tea every day.
37,差,tā de tài dù hěn chà.,他的态度很差。,His attitude is bad.
38,常,wǒ cháng diǎn wài mài.,我常点外卖。,I often order takeout.
39,常常,wǒ cháng cháng zuò fàn.,我常常做饭。,I often cook.
40,唱,tā xǐ huan chàng zhōng wén gē.,他喜欢唱中文歌。,He likes to sing Chinese songs.
41,唱歌,tā xǐ huan chàng gē.,她喜欢唱歌。,She likes to sing.
42,车,wǒ de chē huài le.,我的车坏了。,My car broke down.
43,车票,wǒ yào mǎi yī zhāng chē piào.,我要买一张车票。,I want to buy a ticket.
44,车上,wǒ de shǒu jī zài chē shàng.,我的手机在车上。,My phone is in the car.
45,车站,wǒ zài chē zhàn.,我在车站。,I'm at the station.
46,吃,wǒ yào chī ròu.,我要吃肉。,I want to eat meat.
47,吃饭,wǒ yào hé péng you chī fàn.,我要和朋友吃饭。,I'm going to have a meal with my friend.
48,出,tā ná chū le qián bāo.,她拿出了钱包。,She took out her wallet.
49,出来,tài yáng chū lái le.,太阳出来了。,The sun has come out.
50,出去,wǒ měi tiān chū qù sàn bù.,我每天出去散步。,I go out for a walk every day.
51,穿,tā xǐ huan chuān duǎn kù.,他喜欢穿短裤。,He likes to wear shorts.
52,床,tā tǎng zài chuáng shàng.,他躺在床上。,He is lying on the bed.
53,次,wǒ měi zhōu jiàn shēn sì cì.,我每周健身四次。,I work out four times a week.
54,从,cóng zhè lǐ dào chē zhàn yào shí fēn zhōng.,从这里到车站要十分钟。,It takes ten minutes from here to the station.
55,错,wǒ cuò le.,我错了。,I was wrong.
56,打,tā bù dǎ nǚ rén.,他不打女人。,He doesn't hit women.
