card_id,chinese,pinyin,english
4Q4smGRW2ssmuadJkhSZeV,他感冒了。,tā gǎn mào le。,He caught a cold.
VcpqYO8TnoQ7oeLY03J3ms,不用麻烦了。,bù yòng má fan le。,Don't bother.
YJdlRXaKjuNU7JKg4tWhcm,很好，谢谢。,hěn hǎo， xiè xie。,"Fine, thanks."
vs1vmUbpVMjayPrrj0VYhf,我这就上路。,wǒ zhè jiù shàng lù。,I'm on my way.
Na02YLH24WhFcMglSOJvWT,让我想一想。,ràng wǒ xiǎng yī xiǎng。,Let me see.
z5am43vhHBORzU8CeKDaOM,不是我的错。,bú shì wǒ de cuò。,It's not my fault.
pFs2NQvrMJJnjGIZjuEHAa,都是我的错。,dōu shì wǒ de cuò。,It's all my fault.
MaaQ3tr5OQ0UIKUWra7TNI,你干得很好。,nǐ gàn de hěn hào。,You did a good job.
odasBl7t8JRhDBqLXHj462,我每晚洗澡.,wǒ měi wǎn xǐ zǎo.,I bath every night.
SJT7LARxBqpVTeuDL6FFy6,他年近四十。,tā nián jìn sì shí。,He is near forty.
4odVM6jQVBfFaXFMXk2e0p,这需要时间。,zhè xū yào shí jiān。,It takes time.
XmfqLHCHfjLQLLkZ6x7kH0,我不太清楚。,wǒ bù tài qīng chu。,I'm not really sure.
qc4I4QCMtDlL0kRaAiKxmx,电话响了。,diàn huà xiǎng le。,The telephone is ringing.
2vJ0NPHPxNTnIWVsrvGMIf,我怎么知道。,wǒ zěn me zhī dào。,How should I know.
tVnrXc63IlPF681IWVhG2o,母牛流产了。,mǔ niú liú chǎn le。,The cow cast her calf.
M4feXA5rQFi0r8gAZRmZ4O,它不是手表。,tā bú shì shǒu biǎo。,It is not a watch.
ALkMNwd7hZKCpkfTNWciAP,请把门打开。,qǐng bǎ mén dǎ kāi。,"Open the door, please."
cpNjenFTOWa85QrXPDLXuB,谢谢您，先生。,xiè xie nín， xiān sheng。,"Thank you, sir."
2zoalB0VKmktyrsohoCZgC,你会习惯的。,nǐ kuài xí guàn de。,You'll get used to it.
M7Xsbgr4GBHdld4iQ0NcQ5,啤酒走了气了。,pí jiǔ zǒu le qì le。,The beer is stale.
iPY3DttPE4iQHVB0LNk65T,我马上就来。,wǒ mǎ shàng jiù lái。,I'll be right with you.
LLlqMHy0gHOpZ8Ba6p0ECx,把这本书给她。,bǎ zhè běn shū jǐ tā。,Give her the book.
Vs8tx0rgEqmhkbHCQSvhVR,他唱最高音部。,tā chàng zuì gāo yīn bù。,He sings treble.
ior73CZNHl4JbxAPuCA8xx,也许下一次吧。,yě xǔ xià yī cì ba。,Maybe some other time.
r2zjjNbjDOJVklvBbvdOTz,他正在开会。,tā zhèng zài kāi huì。,He is in conference.
sqNwRHKk7zQgtg4z5XAkAh,好久不见了。,hǎo jiǔ bù jiàn le。,Haven't seen you for ages.
uMoXmZAuFby34orTjOm3vw,请再说一遍。,qǐng zài shuō yī biàn。,"Say that again, please."
DdHbtT8vAIpxlCZ3N4fmdX,谢谢您，先生。,xiè xie nín， xiān sheng。,"Thank you, sir."
W7160CxtEGvQ2Jt8kZ3BlI,一切都会好的。,yī qiè dū huì hǎo de。,Everything will be OK.
GAoVGPznLNtjvIzcQcQcDl,他喜欢吹牛。,tā xǐ huan chuī niú。,He likes to throw the bull.
ozaS143jLATrsevfAraeqa,她穿上袜子。,tā chuān shàng wà zi。,She draws on her socks.
Bi5qh3h3Fqc4BnCarpCwYZ,我有许多唱片。,wǒ yǒu xǔ duō chàng piàn。,I have many discs.
sYMWewiIrNXFp6ca3w2a0v,日子不好过啊。,rì zi bù hǎo guò a。,Pretty tough day to day.
SavPZW4o3L2NY0Y72680BY,我的钢笔是新的。,wǒ de gāng bǐ shì xīn de。,My pen is new.
MvIOfabyNdMNrWXGFMZaDm,他不喜欢吃鱼。,tā bù xǐ huan jí yú。,He doesn't care for fish.
nBsg48VFnBMgzCyL5liYRZ,很高兴认识你。,hěn gāo xìng rèn shi nǐ。,It's nice meeting you.
ZCBAqAYnBnXIAxpcZa0rgk,这对我太合适了。,zhè duì wǒ tài hé shì le。,Suits me fine.
boqmDCo80OCQaLqwTIZBZV,是的，当然可以。,shì de， dāng rán kě yǐ。,"Yes, certainly."
yaHdcvZDhSKSrepzXJNfpM,我坐在他旁边。,wǒ zuò zài tā páng biān。,I sat by his side.
gEnP13t2RKwfRhbbk4Sa2m,他在她的旁边。,tā zài tā de páng biān。,He is being side her.
EDrJBvC2hgIgvILSdWznBw,请把菜单给我。,qǐng bǎ cài dān jǐ wǒ。,Please show me the menu.
zSzwmHRakJQuECYWhPpIWP,他刚请假走了.,tā gāng qǐng jià zǒu le.,He's just gone on leave.
bpMwfdMg66RCCdxVgkiGBA,我的电话坏了。,wǒ de diàn huà huài le。,My phone was out of order.
2q7JrzOTRVB5ajuKTwhUgo,你的眼力不错。,nǐ de yǎn lì bù cuò。,You've made a good choice.
UWQG5VfqyvcOOKIMYJV83E,六除以二得三。,liù chú yǐ èr de sān。,Six divided by two is three.
RYWoh6MamFSjXJ2zF8t8Yo,我正要找你。,wǒ zhèng yào zhǎo nǐ。,Just the man I was looking for.
lqbSoBzRCc4T5CXMMG5X0y,我确实得走了。,wǒ què shí de zǒu le。,I really have to be going.
8zkiwAFs8Xoa8wqetZWoDs,他跳上了桌子。,tā tiào shàng le zhuō zi。,He jumped onto the table.
H5tYBoUJ1aHTiYBxqn1ale,出现了新困难.,chū xiàn le xīn kùn nan.,A new difficulty has arisen.
q0cXmeLqBOxtdTavzEhkXE,昨晚是满月。,zuó wǎn shì mǎn yuè。,Last night there was a full moon.
a46heCFDuLRBdHUdmFIJwf,他的帽子没戴正.,tā de mào zi mò dài zhèng.,His hat isn't on straight.
Tk5s0BU4EpokSIxZa5xn76,他也学习汉语。,tā yě xué xí Hàn yǔ。,He studies Chinese as well.
J58JJTIglXVnGMDmNH6QX7,祝你下一次好运。,zhù nǐ xià yī cì hǎo yùn。,Better luck next time.
Lg4lSuH27yoIV4zaiQ3gmq,他比我大两岁。,tā bì wǒ dà liǎng suì。,He is my senior by two years.
Wm5a0KBwlsGAgPFbRLcGdf,这对我正合适。,zhè duì wǒ zhèng hé shì。,That suits me all right.
gt0ftqCgN7jA0lCwuZLJpu,这方便得多了。,zhè fāng biàn de duō le。,It's much more convenient.
4humOTmt2KBRlxsTTFTbhm,他跳上了桌子。,tā tiào shàng le zhuō zi。,He jumped onto the table.
NhnTL2iSZGYzanIDm0bDNX,我每天早上刮脸.,wǒ měi tiān zǎo shang guā liǎn.,I shave every morning.
0sklwytvF8qU67yAYtEXBU,下周学校复课。,xià zhōu xué xiào fù kè。,School reopens next week.
a4LV4nzR8AzLWPszU2rDjB,我看你不应该。,wǒ kàn nǐ bù yīng gāi。,I don't think you ought to.
QEFeMgbHufjrZLEyqtXGmw,祝你生日快乐。,zhù nǐ shēng rì kuài lè。,I wish you a happy birthday.
R6dNR3AR7lFvoRmh77aHt3,你得等一等看。,nǐ de děng yī děng kàn。,You will have to wait and see.
qSsRrD8lAFwbpzEmKtXY8e,你过来试试看。,nǐ guò lai shì shì kàn。,Come on over to have a try.
nIcApBwfK2PU1UzrpsCel0,我们是六点出发的.,wǒ men shì liù diǎn chū fā de.,We started at six.
8rPGeIVY3DD7hh8xnfjytk,他紧握她的手。,tā jǐn wò tā de shǒu。,He held her hand in a firm clasp.
HRM0ebW5AsxXEA3YrlvUvS,我把袜子穿破了.,wǒ bǎ wà zi chuān pò le.,I've worn holes in my socks.
3Mt3jpeuiWinbrxarkW8te,现在五点差一刻。,xiàn zài wǔ diǎn cī yī kè。,It is a quarter to five.
bYoku2iTBl3XStSANveTou,布已经打成包。,bù yǐ jīng dǎ chéng bāo。,The cloth was packed in bales.
ILFRNzxRqpiTjha71whUU1,迟到总比不到好。,chí dào zǒng bì bù dào hào。,Better late than never.
Mg1v6UqbkwhjLOrweFDUXa,我知道那种感觉。,wǒ zhī dào nà zhòng gǎn jué。,I know the feeling.
gnQs5aZO86AOJWBentKapl,她有着细长的腿。,tā yǒu zhe xì cháng de tuǐ。,She has long thin shanks.
33XfESgLsC51NOBTRuHtHX,农作物需要雨水。,nóng zuò wù xū yào yǔ shuǐ。,The crops need rain.
CFqxKxKtpuICiqsII4HApm,你只是说说而已。,nǐ zhǐ shì shuō shuō ér yǐ。,You are just saying that.
5Jt1RXQElneQuGaqDToD0S,向你全家问好。,xiàng nǐ quán jiā wèn hǎo。,Remember me to your family.
rLJqBo1z5bili8SyCRxsqy,这是常有的事。,zhè shì cháng yǒu de shì。,These things happen all the time.
I2DQFLOfeUklM8YCXjQD6K,大家别同时说.,dà jiā biè tóng shí shuō.,Don't all speak at the same time.
dMmFKbbpUY2SGYsOlWc8sm,有了它真是方便。,yǒu le tā zhēn shì fāng biàn。,It really comes in handy.
6v3xfKRawF1kUX0V0XNonk,我很想吃饺子。,wǒ hěn xiǎng jí jiǎo zi。,I feel like having some dumplings.
LoY1UzoPsmZNJICC34fmUs,我明天晚上来.,wǒ míng tiān wǎn shang lái.,I'll come round tomorrow evening.
SzteE7mEx2g3leMKoaDpHK,他发烧满脸通红.,tā fā shāo mǎn liǎn tōng hóng.,Fever flushed his cheeks.
fLe7aztFK21GKm5Wf5AVVj,我非常感谢您。,wǒ fēi cháng gǎn xiè nín。,I'm extremely grateful to you.
yicrjpJtnJnJPYQrkXLWu8,我在街上遇到他。,wǒ zài jiē shàng yù dào tā。,I met him in the street.
bVRFmqbDNpDqtyi8AFnjxl,我非常感谢您。,wǒ fēi cháng gǎn xiè nín。,I'm extremely grateful to you.
qxtfDuMKKIXaIX0Cf7Rmr2,你应该去看医生。,nǐ yīng gāi qù kàn yī shēng。,You should see a doctor.
0juSseKfPJpcJFciTU04t2,这星期他会很忙。,zhè xīng qī tā kuài hěn máng。,He is very busy this week.
lBCed2randAXORMmVSjCF5,我们喝了一些鸡汤。,wǒ men hè le yī xiē jī tāng。,We had some chicken soup.
7I1uVCCqlH0mnbMgoFsUTr,他是一个高大的男孩。,tā shì yī gè gāo dà de nán hái。,He is a tall boy.
qTSKBa7ian7E7UYbAv0DKl,五加三的总和是八。,wǔ jiā sān de zǒng hé shì bā。,The sum of 5 and 3 is 8.
VX4QId6CtOkcaCIXeqAIVF,我的数学不太好。,wǒ de shù xué bù tài hào。,I am not good at mathematics.
siI3YAKKBsncDP5YRCMtAc,他极为大家所爱戴。,tā jí wéi dà jiā suǒ ài dài。,He is held in affection.
86lOopZrQkD5leQYVlIMwM,那部影片很叫座。,nà bù yǐng piàn hěn jiào zuò。,That film was a great draw.
t6aYXu4yqLPsDvQDvtCplI,他的物理学得很好。,tā de wù lǐ xué de hěn hào。,He does well in physics.
Zpp2pVeLJa4mHpybRuliYc,我很想吃饺子。,wǒ hěn xiǎng jí jiǎo zi。,I feel like having some dumplings.
4HaZO7TzYWDbaKZPOwj6uB,我的表慢五分钟。,wǒ de biǎo màn wǔ fēn zhōng。,My watch is five minutes slow.
F3IpO02nmIf5ldrJWl4un3,好像要下雨了。,hǎo xiàng yào xià yǔ le。,It looks as if it is going to rain.
ioLDYuuYwdHXrEYMq6gCYi,我教她骑自行车。,wǒ jiào tā qí zì xíng chē。,I taught her to ride a bicycle.
QacM06XWijXIokL4Wp24uH,我不知道该怎么办。,wǒ bù zhī dào gāi zěn me bàn。,I have no idea what to do.
G5Xn7Xiq5ewrutVAano3Rg,那孩子将满六岁了。,nà hái zi jiàng mǎn liù suì le。,The child will be six.
L0piMIz0UeNpuqiSJtNvxt,这只是时间问题。,zhè zhǐ shì shí jiān wèn tí。,It's only a matter of time.
7N3cZ6Pq3oDn5wy707CIqq,我认为我考得不错.,wǒ rèn wéi wǒ kǎo de bù cuò.,I think I did OK in the exam.
CjdRGOdJSqDg5aqEfKeFrV,这孩子身上发烧.,zhè hái zi shēn shàng fā shāo.,The child's body felt feverish.
bslN3jdagQ1qzHzsNvgMvM,她是工业设计师。,tā shì gōng yè shè jì shī。,She is an industrial designer.
EEaUFim2iDCOUYz3ijGhkJ,我们必须重新开始。,wǒ men bì xū chóng xīn kāi shǐ。,We must make a new start.
p3pRNVhrhezOXKSSs4GQcr,我们确信能胜利。,wǒ men què xìn néng shèng lì。,We are confident of victory.
n2MWqOCUZF0yjeb0arrQxj,她总穿着黑衣服。,tā zǒng chuān zhuó hēi yī fu。,She always dresses in black.
ibWrEonR2GiEVgMNJaOoZg,她一大早就起床了。,tā yī dà zǎo jiù qǐ chuáng le。,She rose with the lark.
riny5TcLDHhd0WZswUE883,我和她长谈了一次。,wǒ huò tā cháng tán le yī cì。,I had a long talk with her.
qaP7ocxp6r4KUkbu7CygV6,三的立方是二十七。,sān de lì fāng shì èr shí qī。,Three cubed is twenty-seven.
6MSPTaLAcnaJrS1y7qScJP,我今天的心情不好。,wǒ jīn tiān de xīn qíng bù hǎo。,I'm feeling blue today.
RRNqS54XrNYhEdP3bscBk7,我将等到四点钟。,wǒ jiàng děng dào sì diǎn zhōng。,I'll wait till four o'clock.
pIO0yiNjaZEdBLxUlSgmUo,你把帽子戴反了。,nǐ bǎ mào zi dài fǎn le。,You have put your hat on backwards.
wp1GJzSpTnqexzjtCbuhid,不会发很多时间的。,bù huì fà hěn duō shí jiān de。,It won't take much time.
kEn8MAh6fU2UCVAQuAv5Zr,我很愿意。谢谢你。,wǒ hěn yuàn yì。 xiè xie nǐ。,I do very much. Thank you.
jd0PWHirSsjYisHx5N4GiF,你说的话没有道理.,nǐ shuō de huà méi yǒu dào lǐ.,What you say makes no sense.
MrY7PaL1y5XnijeoM1xuLw,她喜欢各种运动。,tā xǐ huan gè zhǒng yùn dòng。,She likes all kinds of sports.
lhCxaOpecXVRrfL77vnWhQ,她从不穿绿色的衣服。,tā cóng bù chuān lu:4 sè de yī fu。,She never wears green.
sBcrAkHwZshnt1C665Ds01,向你的孩子们问好。,xiàng nǐ de hái zi men wèn hǎo。,Give my love to your kids.
1JvgaAUgV8adCAk7Zrwcq4,那顿饭简直好极了。,nà dùn fàn jiǎn zhí hào jí le。,That meal was simply divine!
XbY42CQblal26WU1vQRUTp,马在路上小跑着。,mǎ zài lù shang xiǎo pǎo zhuó。,The horse trotted down the road.
2pL33o4v68XG5U0PY1akWG,我看到他就高兴。,wǒ kàn dào tā jiù gāo xìng。,I never see him but I am happy.
pZsZNN0yH6zE7ueKsSglJB,他有早起的习惯。,tā yǒu zǎo qǐ de xí guàn。,He is in the habit of rising early.
m0vRhOgiSaL4NzqX6mOyah,很高兴再次见到你。,hěn gāo xìng zài cì xiàn dào nǐ。,I'm glad to see you again.
qXFJ8ER5U0ZKi2SK5vgZdZ,这完全是你的过错。,zhè wán quán shì nǐ de guò cuò。,It's your fault entirely.
abaErArA5SRUgc1k3GPx7g,认识从实践开始。,rèn shi zòng shí jiàn kāi shǐ。,Knowledge begin with practice.
AEYdG6BIhrjR8glntJCAs8,这对我没什么差别。,zhè duì wǒ mò shén me chā bié。,It makes no difference to me.
cFQi0vNpi20EsAaVj51sv4,老人快步走开了。,lǎo rén kuài bù zǒu kāi le。,The old man set off at a quick trot.
Njgp1arvBLXEVWtITGdY7c,他的病让我急死了。,tā de bìng ràng wǒ jí sǐ le。,I'm worried sick by his illness.
uyKoajUIESiYa7UEYUcc7P,新年期间我去看你.,xīn nián qī jiān wǒ qù kàn nǐ.,I'll see you in the new year.
